|text|labels
2474|what is compaq 's mission statement|0
2475|what was name 1899 policy forced china all nations had equal trading rights|1
2476|what british monarch 's lap did p.t. barnum 's tom thumb sit|3
2477|how did rocky marciano die|0
2478|who invented road traffic cone|3
2479|what is name joan jett 's band|3
2480|following people is not associated andy warhol|3
2481|what does visine get out|1
2482|what civilization invented arch|3
2483|what are some fun things do cozumel mexico teenagers|0
2484|what is example famous rock band sixties|3
2485|what former royal palace has served as granary prison arsenal leper colony mint telegraph station whorehouse before becoming art museum|5
2486|where was have fallen can 't get up said first|5
2487|what president 's ghost is said haunt white house|3
2488|what are names jack 's original roommates three 's company|3
2489|what is definition hazmat|0
2490|how many url extensions are there what are they|4
2491|where did wright brothers make their first flight|5
2492|who won battle gettysburg|3
2493|what do you get mixing gin vermouth|1
2494|name two youngsters saved animated moby dick|3
2495|who was captain tanker exxon valdez involved oil spill prince william sound alaska 1989|3
2496|what is snowiest city u.s.|5
2497|what is crabgrass|0
2498|what book opens at certain village la mancha shall not name..|1
2499|who is stephen hawking|3
2500|what does shield stand|2
2501|how do you say love you other languages|1
2502|what is gay science|0
2503|why is jane goodall famous|0
2504|what is chemical reactivity helium|4
2505|name actor who played detective film kindergarden cop is what|3
2506|what is main reason electric vehicles can 't be popular nowadays|0
2507|what is difference between optical digital video|0
2508|what clause u.s. constitution may not be changed altered or amended|0
2509|what 's new postal world 1999|0
2510|what actor came dinner guess who 's coming dinner|3
2511|what is difference between anus rectum|0
2512|what is guild|0
2513|what is difference between college graduate school|0
2514|how do change file art file jpeg or bitmap file|0
2515|what is franz kafka 's short story country doctor trying tell us|0
2516|what engineer invented pull tab can|3
2517|what south american capital is world 's highest|5
2518|what are lyrics star spangled banner|0
2519|name civil war battlefield|5
2520|when do you plant winter wheat|4
2521|what will compass do outer space|0
2522|how many counties are indiana|4
2523|college did dikembe mutombo attend|3
2524|who was first actress appear postage stamp|3
2525|who was first black woman star folies bergeres|3
2526|what aesop 's fable has moral race is not always swift. slow steady is bound win|1
2527|what famed strip land is 15 minute boat trip across venetian lagoon venice|5
2528|how is water treated make it safe drink|0
2529|what is hydrogen bond|0
2530|what is exchange rate between england u.s.|4
2531|what does woman want|1
2532|what is protection rate using condoms|4
2533|what 's abbreviation limited partnership|2
2534|continent has most roses|5
2535|what russian novel embracing more characters is set napoleonic wars|1
2536|how do you write correct critical analysis poem|0
2537|how do check if my modem is v.9 compatible|0
2538|what is your favorite color|1
2539|what is longest chemical name consisting 35 letters|1
2540|how many corners does spritsail have|4
2541|what bottled up tv character was born baghdad|3
2542|what is multiplexer|0
2543|what credit card features centurion its face|1
2544|what are four largest mountain ranges asian continent|5
2545|what are poconos|0
2546|what does caliente mean english|0
2547|what is jane goodall famous|0
2548|what is mission nike|1
2549|what is thalassemia|0
2550|how far can you see|4
2551|what nuclear powered russian submarine sank norwegian sea april 1989|1
2552|why can 't you taste anything when you have cold|0
2553|where bible does it tell about jesus christ 's brothers sisters|5
2554|what country boasts southernmost point continental europe|5
2555|when did nostradamus believe world war iii would begin|4
2556|what is so powerful about power bars|0
2557|what do japanese call japan|1
2558|what country was brian boru 11th century king|5
2559|what happens when body part falls asleep|0
2560|what english word has most letters|1
2561|what film ends line this is mrs. norman maine|1
2562|who asked musical question have you ever been electric lady land|3
2563|who wrote poems are made fools like me but only god can make tree|3
2564|what is june 's birthstone|0
2565|where did 6th annual meeting indonesia malaysia forest experts take place|5
2566|why do we ask check not bill at restaurant|0
2567|who played part godfather movie godfather|3
2568|when was london 's docklands light railway constructed|4
2569|who invented wonderbra|3
2570|what is origin proverb stitch time saves nine|0
2571|what state capital comes last alphabetically|5
2572|why is thanksgiving thursday|0
2573|how do telephones work|0
2574|what 's main vegetable vichyssoise|1
2575|how long did charles manson murder trial last|4
2576|how long does it take your blood make one complete trip through body|4
2577|who owns st. louis rams|3
2578|where is former pro wrestler johnny rubber man walker|5
2579|what beer tells us grab all gusto you can get|1
2580|what is geographical center us including alaska hawaii|5
2581|side face do most artists tend show more self portraits|1
2582|what is diabetes|0
2583|what phenomenon would you expect read about monthly publication bigfoot news|1
2584|when do mormons believe christ was born|4
2585|what year was actress joan collins born|4
2586|what is fear punishment|1
2587|what is average salary restaurant manager united states|4
2588|what comic strip sometimes features mailman named beasley|1
2589|what device provided new way listen music 1963|1
2590|what will kid eat middle save chocolate outside last|1
2591|average how long time does it take type screenplay|4
2592|what does abbreviation ioc stand|2
2593|what 's short ton|0
2594|how long do cardinal eggs incubate|4
2595|what two body parts grow all your life|1
2596|what texas surgeon performed first artificial heart transplant|3
2597|what country has port haifa|5
2598|what is main ingredient yogurt|1
2599|what is recipe eggs benedict|1
2600|what is address main government office rome italy|5
2601|what 's largest u.s. agricultural crop weight|1
2602|what is electronic device used produce visual displays corresponding electric signals|1
2603|what is goldenseal|0
2604|who made most appearances center square hollywood squares|3
2605|what is lost colony|0
2606|what is chemical composition barbie|1
2607|how many every 10 members rodeo cowboys association have never worked ranch|4
2608|what store claims be world 's largest department store|3
2609|what is lens behind iris eye called|1
2610|what is tetrinet|0
2611|what marvelous major league baseball player is now spokesman beer company|3
2612|what is longest english word can be formed using just first row letters typewriter|1
2613|what is chiricahua name|1
2614|what 's green variety beryl called|1
2615|what was name captain bligh 's ship|1
2616|is heavier cream or milk|1
2617|who said only thing we have fear is fear itself|3
2618|where is romania located|5
2619|how many films are made major studios year|4
2620|how many small businesses are there u.s|4
2621|what age is benny carter|4
2622|how do you clean lcd monitor screen|0
2623|what city did mormons establish as their headquarters 1847|5
2624|what is amezaiku|0
2625|what two countries are linked brenner pass|5
2626|what new games are available nintendo 64|1
2627|mississippi has what name state nickname|5
2628|what is predominant color tab label|1
2629|what u.s. city was named st. francis assisi|5
2630|how many megawatts will power project indonesia built consortium headed mission energy us produce|4
2631|what is definition chancery file real estate|0
2632|who is sexiest women world|3
2633|what day is known as national day prayer|4
2634|where can get photograph professor randolph quirk|5
2635|who was supreme god germanic religion|3
2636|how do you handle hungry man|0
2637|who 's played most games new york yankees|3
2638|what tv character said one these days alice pow right kisser|3
2639|what is name indian who became prime minister beating mrs. gandhi 1977 election|3
2640|what are conjugations wake woke|1
2641|what chilean president was killed 1973 coup 'etat|3
2642|what was einstein 's iq|4
2643|name first russian astronaut do spacewalk|3
2644|why do eyes sometimes look red photographs|0
2645|what are john c. calhoun henry clay known as|1
2646|what are first names famous husband wife acting team lunt fontanne|3
2647|what are some good exercises kids do|1
2648|how many real fruit juices are there can hawaiian punch|4
2649|what is abbreviation national bureau investigation|2
2650|what is principal river ireland|5
2651|what lake is source white nile|5
2652|garry kasparov plays what game|1
2653|how much does poodle weigh|4
2654|what is zionism|0
2655|what cable network bills itself as family entertainer|3
2656|how many points are there backgammon board|4
2657|what have you not let tennis ball do if you volley|0
2658|comic book was not spawned directly pulp magazines|1
2659|what product is kids not silly rabbits|1
2660|what else has swastika stood|0
2661|why do people get goosebumps when they have something emotional happen them like when they hear beautiful piece music or see something beautiful or get aroused someone they love|0
2662|how many frames does disk camera shoot|4
2663|what are wonders world|1
2664|when did theo rousseau paint forest fontaine|4
2665|how many people have been captain america|4
2666|what is meant term yield maturity reference bonds|0
2667|what became biggest cash crop u.s. 1983 surpassing corn|1
2668|how did war 1812 affect delaware|0
2669|where is human skin least sensitive|1
2670|what president was meant but never placed empty crypt beneath capital 's rotunda|3
2671|what is biggest thing humans have made|1
2672|what are all rivers europe|5
2673|who won superbowl|3
2674|what five cards make up perfect cribbage hand|1
2675|what year was gandhi assassinated|4
2676|what is time it takes typist type screenplay is 100 pages long|4
2677|what is full classification lady bug|1
2678|what hungarian cardinal was first state prisoner then refugee u.s. embassy 1956 1971|3
2679|how many pairs wings does tsetse fly have|4
2680|what was name peace agreement imposed germany after world war|1
2681|what 's fifth largest country world|5
2682|how do you box train cat|0
2683|how was teddy roosevelt related fdr|0
2684|what newspaper serves salt lake city|1
2685|film jaws was made what year|4
2686|how does lightning travel|0
2687|what spice do chefs pay most|1
2688|who directed citizen kane|3
2689|what is troilism|0
2690|what was sister ship olympic|1
2691|what is nickname famous flyer who mistakenly flew ireland instead los angeles|3
2692|what is html|2
2693|how do you identify prime numbers|0
2694|whose special bear 's creator was born january 18 1779|3
2695|what high school does archie attend|3
2696|what animal migrates farthest|1
2697|what film was based play everybody comes rick 's|1
2698|why do we call someone honey|0
2699|madonna hocks soft drink|1
2700|what television network flogged its sports programming inga nielsen 's body 197|3
2701|what country is lund|5
2702|what 's sequel alice 's adventures wonderland|1
2703|what is capital seattle|5
2704|what italian leader had lifelong fear evil eye|3
2705|what city florida is sea world|5
2706|who said what contemptible scoundrel stole cork my lunch|3
2707|what 's water funnel|0
2708|what is fear worms|1
2709|what is chinese spouting bowl|0
2710|what does emperor do|0
2711|what president kissed queen mother lips|3
2712|where does tennis star stefan edberg come|5
2713|what continent pushes up executive committee mountain range|5
2714|how do they raise cranes when building high rise buildings|0
2715|what was al capone finally imprisoned 1931|0
2716|what food can use catch possum|1
2717|what was al capone 's nickname|3
2718|who was author famous fairy tale snow white seven dwarfs|3
2719|what is largest city germany|5
2720|what is fear cholera|1
2721|what park contains firehole river fairy falls|5
2722|what 's largest island west indies|5
2723|what new england state carries telephone area code 27|5
2724|what is example natural acid base indicator|1
2725|what county is eckley colorado|5
2726|how do find info about rice importers world|0
2727|how much does it cost have tree planted dialing 900 740 tree|4
2728|what is song stairway heaven led zeppelin about|0
2729|how does hair curl|0
2730|what are pushed coupled hump yards|1
2731|how long do hermit crabs live|4
2732|what city hosted first winter olympics asia|5
2733|what is origin first name breony|0
2734|what month were you born if your birthstone is sardonyx|4
2735|who is behind name harvey wallbanger drink|3
2736|what is origin beauty is eye beholder|0
2737|what soft drink not only has its own video game but was featured its own marvel comic book|1
2738|what oldtime kids fare did tv guide writer jeff greenfield call one most...subversive tv shows american history|1
2739|madonna advertises what soft drink|1
2740|what does root beer fame stand|2
2741|what tennis term is said come french word egg|1
2742|what does collier mine|1
2743|how much money can person be fined having dog beach|4
2744|what desert country borders saudi arabia iraq persian gulf|5
2745|what are ages comic book lingo|1
2746|what kinds animals are cambodia|1
2747|what south african producer had 1988 profit 836 million|3
2748|what american actress was first be called vamp|3
2749|what do 12 days christmas mean|0
2750|what john steinbeck novel portrays joad family driven oklahoma dustbowl|1
2751|what date did man first land moon|4
2752|where are headquarters eli lilly|5
2753|how many web servers are there|4
2754|what 's last line dickens 's christmas carol|0
2755|how many trees go into paper making year|4
2756|where can find info research being done oilseeds thru genetics|5
2757|how come light bulbs go out|0
2758|what reason did shea gould law firm close their l.a. office|0
2759|how far out is universe|4
2760|what is difference between bottle jar|0
2761|what disease is second biggest killer north americans|1
2762|where did mayan indians live|5
2763|where was poe born|5
2764|what happens female body lack sleep food|0
2765|what is fear crystals or glass|1
2766|name product controls ripening apples|1
2767|how many warmup pitches does reliever get coming into baseball game|4
2768|where did dylan thomas die|5
2769|what common livestock have greatest variety breeds|1
2770|what film had bette davis creating scandal wearing daring red gown society ball|1
2771|what disease did august von wassermann develop specific test 196|1
2772|what card company sells christmas ornaments|3
2773|how do find out what cities are certain area code|0
2774|what can communications satellites offer yachts|1
2775|how many fig newtons are there pound|4
2776|who is premier china|3
2777|what cigar chewing comedian observed you 're only as old as woman you feel|3
2778|how many bones are there human hand|4
2779|what bread company used feature stickers cisco kid ends their packages|3
2780|who was president vichy france|3
2781|whose kidnaping was termed crime century|3
2782|what is hydrogen|0
2783|what group asked musical question do you believe magic|3
2784|what was tallest building america 1922|5
2785|what buxom blonde appeared cover more than magazines|3
2786|what is recruitment interview technique|0
2787|how does hurricane form|0
2788|what does donation process entail|0
2789|how far is it phoenix blythe|4
2790|what new hampshire hamlet rises early vote first u.s. presidential elections|5
2791|how many people watch network television|4
2792|what garment was named bradley voorhees day|1
2793|who first broke sound barrier|3
2794|how do birds have sex|0
2795|how many horses are there polo team|4
2796|what 's destroyed genesis 19 24|1
2797|what new year is celebrated february 16th|1
2798|what is occam 's razor|0
2799|where do grimace mayor mccheese live|5
2800|how long does it take hike entire appalachian trail|4
2801|what role do fruits play survival plants|3
2802|where is world championship sled dog race held each february|5
2803|what are medical purposes clitoridectomy|0
2804|how is thalassemia defined|0
2805|what 's name tampa newspaper|1
2806|what is storm surge|0
2807|how do you use farther as opposed further|0
2808|what was alternate vhs|1
2809|what is one languages sioux|1
2810|what pulitzer prize winning novelist ran mayor new york city|3
2811|how many times can nickel cadmium rechargeable battery be recharged|4
2812|how is cologne made|0
2813|what was food greek gods called|1
2814|what does camera ready art mean|0
2815|how many seats does batmobile sport|4
2816|how many cards are dealt each player gin rummy|4
2817|what happened phillip taylor kramer|0
2818|what erica jong novel deals isadora wing 's fear|1
2819|what time year do most people fly|4
2820|who was scrooge 's dead partner dickens 's christmas carol|3
2821|what is origin christmas tree|0
2822|when is thai new year|4
2823|what four tournaments make up tennis grand slam|1
2824|what 1964 film introduced song my kind town|1
2825|who recorded 1957 hit tammy|3
2826|what is term side mountain faces prevailing winds|1
2827|kafka 's metamorphosis hero awakes one morning find himself turned into what|1
2828|what does caliente translate english|1
2829|who is mia farrow 's mother|3
2830|how do you determine if computer monitor has svga adapter|0
2831|how far can human eye see|4
2832|what time year has most air travel|4
2833|what does term spaghetti western mean|0
2834|when was g7 group nations formed|4
2835|what are differences between 1980 1990|0
2836|what baseball player was walked most times|3
2837|what famous male vocalist has same name as composer opera hansel gretel|3
2838|what were first frozen foods|1
2839|why is indiglo called indiglo|0
2840|what is word love pain or abuse|1
2841|when did they canonize bible|4
2842|who was only president serve two nonconsecutive terms|3
2843|what percentage all world tornados touch down us|4
2844|what labor leader was last seen parking lot michigan restaurant|3
2845|when did carolingian period begin|4
2846|what motto ended merrie melodies cartoons|0
2847|who reports weather good morning america television show|3
2848|how many emperors were there roman empire|4
2849|what was name muppets creator|3
2850|what is cabarnet sauvignon|0
2851|what is virtual ip address|0
2852|what 's name tiger advertises frosted flakes cereal|1
2853|who sent brief message came saw conquered|3
2854|what color is mr. spock 's blood|1
2855|what u.s. air force general led first bombing raid over tokyo|3
2856|what u.s. vice president said some newspapers dispose their garbage printing it|3
2857|what was name first watergate special prosecutor later fired nixon|3
2858|how do movie blues screens work|0
2859|how does speed magnet spins generator affect output generator|0
2860|what 's supreme policy making bureau soviet communist party|3
2861|what was vietnam war|0
2862|what is la nina|0
2863|why did globe theatre burn down|0
2864|what day were john jackie kennedy married|4
2865|what was non fiction best seller 1952 1953 1954|1
2866|what is meant blood sed rate|0
2867|who are nomadic hunting gathering tribe kalahari desert africa|3
2868|who won pulitzer prize his novel caine mutiny|3
2869|what 's best way lose flab under your chin around your face|1
2870|where is your corpus callosum|5
2871|what broadway musical featured song if were rich man|1
2872|who portrayed sherlock holmes 14 films between 1939 1946|3
2873|why is development space so important|0
2874|what is nursery rhyme rock baby about|0
2875|when superman needs get away it all where does he go|5
2876|how old is singer freedy johnston|4
2877|what is origin gametophytic tissue|0
2878|what does aaron mean|0
2879|what is fear hair|1
2880|what is name pop singer whose song became theme song brand catsup|3
2881|what is conifer|0
2882|who claimed be world 's most perfectly developed man|3
2883|what is different about red black fox|0
2884|what is commerce|0
2885|how do tie tie|0
2886|where can get cotton textiles importer details|5
2887|when did spain korea start ambassadorial relations|4
2888|what kind people took part shays rebellion massachusetts 1787|3
2889|what is chromatology|0
2890|how many grooves are dime 's edge|4
2891|how was aclu formed|0
2892|what are most albums sold one artist or band|1
2893|second most popular sport worldwide is what|1
2894|what do goldfish lose if kept dimly lit or running water|1
2895|what canal does thatcher ferry bridge span|5
2896|what american won world grand prix driving championship 1978|3
2897|what are chances pregnacy if penis does not penetrate vagina|4
2898|what 's highest hand straight poker|1
2899|where can find lesson plan teaching metric system conversion american standard|5
2900|what is name kevin costner 's movie about sioux indians|1
2901|what are kythnos siphnos seriphos mykonos|0
2902|name female figure skater|3
2903|why are there no white lines pro footballs|0
2904|how long would it take savings bond mature|4
2905|how is abigail arcane related villainous opponent swamp thing|0
2906|what did congress vienna establish|1
2907|what is average cost four years medical school|4
2908|what harmful chemicals are bug spray|1
2909|how many spears are there kenya 's flag|4
2910|what did mighty mouse always sing as he went into action|0
2911|where did george jungle live|5
2912|how did bob marley die|0
2913|what 's men 's par 455 yard golf hole|4
2914|what percentage american men are alcoholic|4
2915|dialing 900 740 tree have tree planted will cost how much|4
2916|south korea how many american soldiers are there|4
2917|who portrayed carl bernstein all president 's men|3
2918|what are numbers fit into fermont 's last theorem|4
2919|who was tiny tim 's father|3
2920|what does heliologist study|1
2921|who was bonnie blue butler 's father|3
2922|what shampoo prevents eczema seborrhea psoriasis|1
2923|how many americans have hiv|4
2924|where do find information foreclosure properties internet|5
2925|who is antichrist|3
2926|what was first english play written exclusively children|1
2927|latin american country is largest|5
2928|what was former residence scottish kings edinburgh|5
2929|how many teats does female goat sport|4
2930|how tall is kilamanjaro|4
2931|who was lawyer who represented randy steven craft|3
2932|what country buys 25 percent world 's tea exports|5
2933|what country is origin band creeps|5
2934|what did crocodile swallow peter pan|1
2935|what is origin word mushroom|0
2936|following celebrities was not born philadelphia|3
2937|what is number american soldiers deployed south korea|4
2938|where is biggest bell|5
2939|what is brand name chemical daminozide|1
2940|how do microwaves work|0
2941|what magazine paid ernest hemingway 15 word write bullfighting article|1
2942|what is estimated total u.s. whitetail deer population|4
2943|who wrote farmer 's almanac|3
2944|what animal received royal assent as emblem canada march 24 1975|1
2945|what number is at 12 'clock dartboard|4
2946|team won super bowl 1968|3
2947|what is recommended daily requirement folic acid pregnant women|0
2948|what film dramatized scopes monkey trial|1
2949|cnn is owned whom|3
2950|what country offered albert einstein its presidency 1952|5
2951|what is highest roman numeral|0
2952|what tv series saw many its aquatic scenes shot at silver springs florida|1
2953|who was 15th century fire brimstone monk who gained control florence but ended burnt at stake|3
2954|how is digital audio used|0
2955|what is afs|2
2956|who was quetzalcoatl|3
2957|what operating system do ibm compatible machines use|1
2958|what french leader sold louisiana united states|3
2959|what bay sparkles next miami florida|5
2960|how many miles veins are circulatory system|4
2961|what famed river flows through bagdad|5
2962|how is bubble wrap made|0
2963|what is java|0
2964|who is prime minister japan|3
2965|what player squats average times during baseball doubleheader|3
2966|what 's most common name nursery rhymes|3
2967|how many no answers was what 's my line panel allowed|4
2968|what is fine having dog beach|4
2969|who wrote book song solomon|3
2970|where can one find information religion health brain nutrition|5
2971|name ranger who was always after yogi bear|3
2972|what tv show did john sebastian sing theme|1
2973|who is president spanish government|3
2974|who holds career record most major league home runs|3
2975|following actors worked new york 's yiddish theater|3
2976|who invented stethoscope|3
2977|what is mathematical factor|0
2978|how many four star generals were there who are they|4
2979|when did nixon die|4
2980|what was originally defined as one millionth distance equator pole|1
2981|what comedian hit tv screen 1951 nbc afternoon show time ernie|3
2982|how many members are california congressional delegation|4
2983|what erupts every hour at yellowstone national park|5
2984|what country contains highest point south america|5
2985|what are arnold palmer 's fans called|3
2986|who retired 755 home runs his credit|3
2987|what constellation represents hunter club shield|5
2988|who developed potlatch|3
2989|how long did shea gould practice law los angeles|4
2990|what 's perfect score gymnastics exercise|4
2991|what group included abbey hoffman jerry rubin tom hayden|3
2992|what made jane goodall famous|0
2993|at what age did rossini stop writing opera|4
2994|what russian seaport has name meaning lord east|5
2995|name two actress daughters john mills|3
2996|how old was gene siskel|4
2997|what can be done about snoring|0
2998|what rocky mountain ridge separates north america 's eastward westward flowing rivers|5
2999|who is actress bette davis once said she wished she looked like|3
3000|who portrayed cowardly lion wizard oz|3
3001|what does chiropodist treat|1
3002|what is porphyria|0
3003|what gate opened east west berlin|5
3004|who was first king england|3
3005|what made finger lakes western new york state|0
3006|what movie is number nine found title|1
3007|how many calories are there soy sauce|4
3008|who killed kurt cobain|3
3009|who created monster mary shelley 's novel frankenstein|3
3010|what 's farthest planet sun|5
3011|why does sun shine only short time alaska|0
3012|what chemical red wine is good heart what exactly does it do your body|1
3013|how does blood clot|0
3014|how big is our galaxy diameter|4
3015|what product doubles your pleasure doubles your fun|1
3016|when is woman most fertile|4
3017|what son 15 year old mexican girl half irish father became world 's most famous greek|3
3018|who was first man return space|3
3019|what brand jeans did calvin klein admit 1984 interview he felt more comfortable wearing|1
3020|who gave abbie hoffman his first dose lsd|3
3021|what effect does friction have perpetual motion|0
3022|what did seven dwarfs do living|3
3023|what foot actress 1984 became first performer win oscar playing character opposite sex|3
3024|who shot billy kid|3
3025|what is he doing now|0
3026|what mormon leader was said have had 27 wives|3
3027|what video format was alternative vhs|1
3028|where did term 69 come|0
3029|what is money made|1
3030|what 's name hotel indianapolis|5
3031|how many people tucson|4
3032|where is melbourne|5
3033|whom did bush compare saddam hussein|3
3034|what country was mikhail gorbachev leader|5
3035|what is recommended weight 15 year old male is|4
3036|what pillar dutch renaissance painted aristotle contemplating bust homer|3
3037|what is largest county size massachusetts|5
3038|what is name brilliant british economist behind its creation|3
3039|who played sally rogers dick van dyke show|3
3040|what is it like experience near death episode|0
3041|what mythical figure carries hourglass scythe|3
3042|how much is canadian 1967 twenty dollar gold coin worth|4
3043|why didn 't european colonial rule spread until after first second industrial revolutions|0
3044|what natural attractions draw most visitors united states|5
3045|what presidential administration challenged americans explore new frontier|3
3046|how many years did sleeping beauty sleep|4
3047|how long does it take your body restore blood after you donate your blood|4
3048|how do know someone is truly love me|0
3049|many numbered vats scotch was judged best panel experts 1863|1
3050|what is literary criticism|0
3051|how do you throw housewarming party|0
3052|what international sport was originally called hurley|1
3053|what river runs through liverpool|5
3054|what famous british actor lost his voice after operation 1966|3
3055|what does term mean newspaper editor|0
3056|what company makes impulse hardening equipment|3
3057|what country was kim philby really working|5
3058|what does freddy freeman say become captain marvel jr.|0
3059|what country was hitler chancellor|5
3060|what is rona barrett 's married name|3
3061|how many years make up lustrum|4
3062|what are close encounters first second kind|1
3063|who is mathematician won noble prize literature 1950|3
3064|glamorous actress is close friend dick tracy|3
3065|what 1956 grace metalious novel was best seller list two years|1
3066|name three races unleashed celestials marvel comics|3
3067|how old is italian artist maurizio pellegrin|4
3068|what president hit jogging paths enhance his athletic image sporting no. 39 almost collapsed during road race|3
3069|what is distinction erle stanley gardner 's case terrified typist|0
3070|what north american city would you visit see cleopatra 's needle|5
3071|when was nfl established|4
3072|where can find ask expert site|5
3073|what writer journalist made his mark describing colorful broadway underworld characters|3
3074|what u.s. state has lowest highest elevation at feet|5
3075|what are residents island lesbos called|3
3076|what is organizational structure new delhi indira gandhi airport|1
3077|at christmas time what is traditional thing do under mistletoe|1
3078|what baseball great plugged mr. coffee|3
3079|what international amateur sports spectacle was first telecast 1956|1
3080|what is origin word amen|0
3081|who 's baby was sweet pea popeye cartoon|3
3082|where is mile high stadium|5
3083|what were baffin frobisher franklin looking|1
3084|what is limbo|0
3085|what city contains district hell 's kitchen|5
3086|what interesting method was used run credits early popeye cartoons|1
3087|what are stars made|1
3088|what english physician was born january 18 1779 went create two important inventions|3
3089|who did arthur h. bremer try assassinate may 15 1972|3
3090|how fast must spacecraft travel escape earth 's gravity|4
3091|what apostle is taylor caldwell 's great lion god|3
3092|how many rings are there five zone archery target|4
3093|what anesthetic did queen victoria allow be used birth her seventh child 1853|1
3094|what element periodic table is gas or solid but never liquid|1
3095|what is tonne|0
3096|one great lakes is entirely within u.s. territory|5
3097|what is deet|2
3098|what company sells most greeting cards|3
3099|what u.s. state has sagebrush as its state flower|5
3100|what is bernoulli principle|0
3101|what 's comic strip photographer peter parker 's secret identity|3
3102|what is difference between poster print|0
3103|sport is there scrum|1
3104|what are best ways improve employee morale at low cost|1
3105|what nationality is pope john paul ii|5
3106|what is false consciousness|0
3107|how did great depression affect japan 's history|0
3108|side should bowler facing 37803 split hit pin left or right|1
3109|where are some great educational resources parents teachers|5
3110|how many israeli athletes were killed at munich olympics|4
3111|what is scotch people who know difference|1
3112|when was richard nixon born|4
3113|what new york city landmark has 168 steps its crown|5
3114|where is bulls basketball team based|5
3115|what is recomended age switch child crib bed|4
3116|rockefeller was sometimes called jdr3|3
3117|when is sun closest earth|4
3118|what are some chemical properties mendelevium|0
3119|what is average hours per months spent online aol users|4
3120|whom did friz freleng add warner bros. cartoon ranks|3
3121|what is origin word sideburns|0
3122|trials resulting world war ii are known as what|1
3123|what started 1849 when gold was discovered at sutter 's mill|1
3124|what is first world country|0
3125|who was shakespeare 's moorish general|3
3126|what 's second highest mountain world|5
3127|what country was erich honecker leader|5
3128|how does salt melt ice snow|0
3129|what two japanese cities are spelled letters|5
3130|what does laser stand|0
3131|who taught matt murdock use his extraordinary abilities marvel comics|3
3132|where did wile e. coyote always get his devices|5
3133|how far away is moon|4
3134|what famous film tv cowboy lent his name fast food chain|3
3135|what is mandibulofacial dysostosis|0
3136|what was reason partition anglican vatican churches|0
3137|what is butterfield butterfield|0
3138|who famously rode warn people massachusetts british were coming|3
3139|what is dtmf|2
3140|name movie actress sandra bullock had role|1
3141|what blew up at lakehurst new jersey may 1977|1
3142|who commanded french forces at battle orleans|3
3143|where can individual get contact lens tested burned entire surface eye when new|5
3144|what countries does mont blanc tunnel join|5
3145|what ill fated craft was captained ernst lehmann|1
3146|when did amtrak begin operations|4
3147|how many bones are human hand|4
3148|how many chemical elements are there|4
3149|what eastern state sprouted first commercial nuclear power plant u.s.|5
3150|what are three most populated countries world|5
3151|who led opposition when konrad adenauer was chancellor germany|3
3152|what is current population these countries france spain italy greece austria germany switzerland netherlands|4
3153|what is youngest age boy or girl can have orgasm|4
3154|what color is lipstick boy george 's wax lips at london 's madame tussaud 's|1
3155|what is origin candy cane at christmas|0
3156|what is brand name chemical used control ripening|1
3157|what terror sea did johnny horton sing about|1
3158|what is largest office block world|5
3159|who turned all he touched gold|3
3160|what is medical term cancer blood|1
3161|who plays shortstop charlie brown 's baseball team|3
3162|what country did romans call hibernia|5
3163|who was most famous food editor new york times|3
3164|how many dogs pull sled iditarod|4
3165|what 's male witch called|1
3166|how long does cocaine stay your system|4
3167|what two countries fought hundred years war|5
3168|who was last u.s. president reinstate selective service registration|3
3169|dates does running bulls occur pamplona spain|4
3170|what was name lawyer who represented randy steven craft|3
3171|what happens used motor oil|0
3172|what is most commonly used letter word english language|1
3173|what actress 's autobiography is titled shelley also known as shirley|3
3174|how many colors was 1940s collectible called donald duck rubber boat|4
3175|how did 7th inning stretch get started|0
3176|who lived shores gitchee gumee river|3
3177|what did tristan come back as|1
3178|what country will hit year first|5
3179|what colors make up rainbow|1
3180|what war did johnny reb billy yank fight|1
3181|who is section manager guidance control systems at jpl|3
3182|what is goldfinger 's first name|3
3183|what square is geographical center london|5
3184|following famous people does not paint as hobby|3
3185|what is most populated city world|5
3186|how many pitchers occupy shelf beside crouching woman edgar degas 's 1886 painting tub|4
3187|what is cost drugs used tuberculosis treatments|4
3188|what does jessica mean|2
3189|what famed gangland slaughter cut into membership bugs moran 's outfit|1
3190|ray charles is best known playing what instrument|1
3191|where did victor hugo spend his exile|5
3192|what was nine tailors television show 1974 about|0
3193|how does elongated man know mystery is afoot|0
3194|what food three bears did goldilocks eat|1
3195|what is boston kreme|0
3196|who should call get tour new york stock exchange|3
3197|how many airline schools are there u.s.|4
3198|what u.s. general died december 1945 when his jeep collided truck|3
3199|what is swatch|0
3200|what does ouija mean|0
3201|how many major nazi leaders went trial after war at nuremberg|4
3202|what kind fish is coney|1
3203|what state did helen keller call home|5
3204|what was name director movie jaws|3
3205|what steps can be taken prevent diabetes|0
3206|what were first words spoken film sound track|0
3207|what year is etched gold medal excellence paris exposition depicted can campbell 's tomato soup|4
3208|what country 's royal house is bourbon parma|5
3209|what film was jude law|1
3210|who portrayed w.c. fields film w.c. fields me|3
3211|what were ceremony traditions like during elizabethian times|1
3212|college did dikembe mutombo play basketball at|3
3213|what is fear going bed|1
3214|where did saying rule thumb come|0
3215|why does sound travel quicker through water than air|0
